Year,Month,Rainfall, Temp ,Hum,Tot_case,Death,,,,,,,,,,
2022,January,9,20,76,126,0,,,,,,,,,,
2022,February,25,21,72,20,0,,,,,,,,,,
2022,March,52,28,71,20,0,,,,,,,,,,
2022,April,130,30,75,23,0,,,,,,,,,,
2022,May,277,30,79,163,0,,,,,,,,,,
2022,June,460,30,85,737,1,,,,,,,,,,
2022,July,523,31,86,1571,9,,,,,,,,,,
2022,August,420,31,86,3521,11,,,,,,,,,,
2022,September,318,30,85,9911,34,,,,,,,,,,
2022,October,160,29,83,21932,86,,,,,,,,,,
2022,November,42,26,79,19334,113,,,,,,,,,,
2022,December,10,22,77,5024,27,,,,,,,,,,
2023,January,10,25,73,556,6,,1,,,,,,,,
2023,February,30,28,66,166,3,,,,,,,,,,
2023,March,58,33,60,111,0,,,,,,,,,,
2023,April,155,34,66,143,2,,,,,,,,,,
2023,May,283,33,75,1036,2,,,,,,,,,,
2023,June,379,33,79,5956,34,,,,,,,,,,
2023,July,334,32,81,49738,226,,,,,,,,,,
2023,August,302,34,79,40144,193,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,1,,,,,,
,,,,,,,,1,,,,1,1,1,,
,,,,,,,,,,,,,,,,
,,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
,,31.64,0,0,0,5.27,0,0,0,42.19,5.27,5.27,0,42.19,0,
,,15.82,10.55,21.09,0,15.82,5.27,10.55,21.09,31.64,10.55,26.37,79.1,0,0,
,,26.37,26.37,31.64,31.64,10.55,26.37,15.82,21.09,73.83,226.76,63.28,52.73,52.73,31.64,
,,63.28,42.19,100.2,94.92,232.03,73.83,63.28,242.58,121.29,553.71,400.78,100.2,253.12,84.1,
,,184.57,232.03,295.31,311.13,137.11,448.24,247.85,205.66,500.98,411.33,622.27,437.7,522.07,365.78,
,,300.59,279.49,384.96,284.77,242.58,290.04,432.42,400.78,205.66,685.55,479.88,490.43,448.24,487.28,
,,290.04,400.78,142.38,210.94,258.4,221.48,232.03,606.45,558.98,748.83,490.43,748.83,432.42,393.58,
,,268.95,406.05,258.4,474.61,284.77,221.48,363.87,311.13,369.14,875.39,279.49,369.14,284.77,401.16,
,,179.3,216.21,184.57,168.75,163.48,179.3,263.67,205.66,316.41,553.71,179.3,321.68,363.87,229.8,
,,205.66,105.47,195.12,26.37,68.55,158.2,52.73,52.73,163.48,395.51,63.28,284.77,390.23,213.23,
,,0,21.09,5.27,0,63.28,0,0,0,121.29,21.09,21.09,63.28,31.64,17.75,
,,5.27,5.27,63.28,0,0,0,5.27,0,0,126.56,26.37,10.55,0,107.68,
,,1571.48,1745.51,1682.23,1603.12,1481.84,1624.22,1687.5,2067.19,2504.88,4614.26,2657.81,2958.4,2821.29,2331.99,
,,,,,,,,,,,,,,,,
,,,,,,,,,1,,,,,,,
,,,,,1,1,,,1,,,,,1,,1
,,,,,,,,,,1,,1,,,1,1
,,,,,,,,,,,,,,,,
,,YEAR,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,,JAN,17.12,19.14,17.56,16.51,18.71,16.29,17.95,19,18.11,17.25,14.7,18.16,16.44,16.92
,,FEB,18.98,22,21.44,21.48,21.62,21.73,21.31,22.4,24.06,21.44,20.52,21.83,18.65,19.98
,,MAR,27.3,27.36,28.51,27.46,27.85,28.02,27.3,27.29,28.5,24.62,26.76,25.77,25.22,28.14
,,APR,31.01,31.73,32.17,30.1,30.02,31.51,33.01,28.8,31.3,27.54,27.95,30.15,28.74,32.02
,,MAY,31.51,30.63,30.22,29.81,30.64,28.99,32.05,30.08,30.01,28.53,28.01,30.37,28.75,30.76
,,JUN,28.62,29.26,28.65,28.68,29.83,28.7,29.51,29.15,28.88,28.31,28.4,29.08,28.54,28.48
,,JUL,28.26,28.68,28.58,28.51,28.81,28.39,28.68,28.05,28.23,28.06,28.56,28.58,28.73,28.76
,,AUG,27.96,28.41,28.44,27.76,28.23,27.92,28.24,28.14,28.3,28.36,28.41,28.62,28.5,28.39
,,SEP,27.58,27.83,27.73,27.69,27.7,27.95,27.94,28.16,28.19,28.15,28.21,28.18,28.58,27.91
,,OCT,26.08,25.58,26.59,26.72,25.47,26.37,26.36,26.55,26.96,26.33,25.69,26.33,27.84,26.84
,,NOV,22.03,22.49,23.49,22.9,21.51,22.09,22.53,23.08,22.51,21.92,22.49,23.11,22.56,21.39
,,DEC,20.11,18.12,18.13,19.78,16.85,19.07,18.7,19.03,19.28,19.36,18.54,17.72,17.65,18.32
,,ANN,25.56,25.94,25.98,25.63,25.61,25.6,26.15,25.82,26.19,25,24.87,25.67,25.03,25.69
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
,,71.19,65.31,63.56,66.06,58.25,56.69,65.44,60,56.62,65,73.94,57.06,78.81,74.44,
,,59.5,50.56,49,52.31,42.94,46.44,51.5,52,54.31,51.56,65.38,53.81,63.75,56,
,,57.25,43.12,49.25,51.12,43.56,44.38,45.25,44.12,52.81,65.56,59.81,56.44,55,50.56,
,,54.5,56.62,62.62,58.56,66.75,54.94,48.88,72.31,69.38,82.81,74.81,65.44,68.5,53.12,
,,64.31,71,76.94,75.94,72.81,82.94,65.75,78.31,77.75,85.81,88.12,78.38,82,74.75,
,,85.12,83.38,89.44,86,83.31,88.56,85.81,86,87.81,91.5,90.56,88.69,90.69,89.31,
,,89.25,87.75,88.38,87.44,87.12,88.81,88.94,90.62,89.94,91.25,90.06,90.62,90.38,89.12,
,,89.62,88.19,87.56,90.12,89.25,90,89.62,90.31,89.44,90.44,89.81,89.25,89.88,89.94,
,,88.56,88.75,88.88,89.62,90.06,88.31,88.38,87.19,89,89.75,86.88,87.94,89.19,88.44,
,,84.81,85.19,86.12,81.25,84.62,87,80.31,81.19,85.5,85.88,79.5,86.5,86.69,84.69,
,,76.5,79.25,78.69,70.69,75.5,79.44,71.75,71.38,80.75,81.12,71.88,81.38,81.88,80,
,,74.69,74.44,75.12,66.25,67.31,71.38,68.94,63.5,78.88,82,68.19,81.62,81.31,81.06,
,,74.69,72.94,74.81,73.06,71.88,73.44,71,73.19,76.06,80.38,78.31,76.56,79.88,76.12,
